ticker,country,company_name,exchange,market_cap,currency,source_priority,as_of_date
1111.SR,Saudi Arabia,Saudi Tadawul Group Holding Company,SAU,16847998976,SAR,1,2026-03-12
4190.SR,Saudi Arabia,Jarir Marketing Company,SAU,16716000256,SAR,1,2026-03-12
1030.SR,Saudi Arabia,The Saudi Investment Bank,SAU,16163010560,SAR,1,2026-03-12
6015.SR,Saudi Arabia,Americana Restaurants International PLC,SAU,15957402624,SAR,1,2026-03-12
2223.SR,Saudi Arabia,Saudi Aramco Base Oil Company - Luberef,SAU,15791263744,SAR,1,2026-03-12
1020.SR,Saudi Arabia,Bank AlJazira,SAU,14390134784,SAR,1,2026-03-12
4164.SR,Saudi Arabia,Nahdi Medical Company,SAU,13909999616,SAR,1,2026-03-12
4002.SR,Saudi Arabia,Mouwasat Medical Services Company,SAU,12860000256,SAR,1,2026-03-12
4263.SR,Saudi Arabia,SAL Saudi Logistics Services Co,SAU,12615999488,SAR,1,2026-03-12
4200.SR,Saudi Arabia,Aldrees Petroleum and Transport Services Company,SAU,11880000512,SAR,1,2026-03-12
4004.SR,Saudi Arabia,Dallah Healthcare Company,SAU,11475764224,SAR,1,2026-03-12
1212.SR,Saudi Arabia,Astra Industrial Group Company,SAU,10960000000,SAR,1,2026-03-12
2310.SR,Saudi Arabia,Sahara International Petrochemical Company,SAU,10655332352,SAR,1,2026-03-12
7030.SR,Saudi Arabia,Mobile Telecommunications Company Saudi Arabia,SAU,10263487488,SAR,1,2026-03-12
8313.SR,Saudi Arabia,Rasan Information Technology Company,SAU,10207671296,SAR,1,2026-03-12
8230.SR,Saudi Arabia,Al Rajhi Company for Cooperative Insurance,SAU,10099999744,SAR,1,2026-03-12
4015.SR,Saudi Arabia,Jamjoom Pharmaceuticals Factory Company,SAU,9471000576,SAR,1,2026-03-12
4090.SR,Saudi Arabia,Taiba Investment Company,SAU,9449397248,SAR,1,2026-03-12
4072.SR,Saudi Arabia,MBC Group Co.,SAU,9024050176,SAR,1,2026-03-12
4264.SR,Saudi Arabia,Flynas Company,SAU,8628025344,SAR,1,2026-03-12
2250.SR,Saudi Arabia,Saudi Industrial Investment Group,SAU,8423319552,SAR,1,2026-03-12
1322.SR,Saudi Arabia,Al Masane Al Kobra Mining Company,SAU,8253584384,SAR,1,2026-03-12
4220.SR,Saudi Arabia,Emaar The Economic City,SAU,8105296896,SAR,1,2026-03-12
4321.SR,Saudi Arabia,Arabian Centres Company,SAU,8050273280,SAR,1,2026-03-12
2381.SR,Saudi Arabia,Arabian Drilling Company,SAU,7551649792,SAR,1,2026-03-12
2083.SR,Saudi Arabia,Power and Water Utility Company for Jubail and Yanbu,SAU,7480000000,SAR,1,2026-03-12
2350.SR,Saudi Arabia,Saudi Kayan Petrochemical Company,SAU,7424999936,SAR,1,2026-03-12
4017.SR,Saudi Arabia,Dr. Soliman Abdel Kader Fakeeh,SAU,7240399872,SAR,1,2026-03-12
2050.SR,Saudi Arabia,Savola Group Company,SAU,7217742848,SAR,1,2026-03-12
4322.SR,Saudi Arabia,Retal Urban Development Company,SAU,6954473472,SAR,1,2026-03-12
4210.SR,Saudi Arabia,Saudi Research and Media Group,SAU,6880000000,SAR,1,2026-03-12
2270.SR,Saudi Arabia,Saudia Dairy & Foodstuff Company,SAU,6753724416,SAR,1,2026-03-12
4003.SR,Saudi Arabia,United Electronics Company,SAU,6205011456,SAR,1,2026-03-12
4018.SR,Saudi Arabia,Almoosa Health Company,SAU,6105033216,SAR,1,2026-03-12
4071.SR,Saudi Arabia,Arabian Contracting Services Company,SAU,6088499712,SAR,1,2026-03-12
4031.SR,Saudi Arabia,Saudi Ground Services Company,SAU,6004720128,SAR,1,2026-03-12
2060.SR,Saudi Arabia,National Industrialization Company,SAU,5893132288,SAR,1,2026-03-12
4005.SR,Saudi Arabia,National Medical Care Company,SAU,5818637824,SAR,1,2026-03-12
2230.SR,Saudi Arabia,Saudi Chemical Holding Company,SAU,5818080256,SAR,1,2026-03-12
2080.SR,Saudi Arabia,National Gas and Industrialization Company,SAU,5793750016,SAR,1,2026-03-12
2330.SR,Saudi Arabia,Advanced Petrochemical Company,SAU,5792800256,SAR,1,2026-03-12
6004.SR,Saudi Arabia,CATRION Catering Holding Company,SAU,5731800064,SAR,1,2026-03-12
1810.SR,Saudi Arabia,Seera Holding Group,SAU,5722615296,SAR,1,2026-03-12
4001.SR,Saudi Arabia,Abdullah Al-Othaim Markets Company,SAU,5597999616,SAR,1,2026-03-12
4084.SR,Saudi Arabia,Derayah Financial Company,SAU,5454107136,SAR,1,2026-03-12
4161.SR,Saudi Arabia,BinDawood Holding Company,SAU,5372100096,SAR,1,2026-03-12
3030.SR,Saudi Arabia,Saudi Cement Company,SAU,5128560128,SAR,1,2026-03-12
6010.SR,Saudi Arabia,The National Agricultural Development Company,SAU,5127880192,SAR,1,2026-03-12
4020.SR,Saudi Arabia,Saudi Real Estate Company,SAU,4863750144,SAR,1,2026-03-12
3020.SR,Saudi Arabia,YAMAMA Cement Company,SAU,4738500096,SAR,1,2026-03-12
4291.SR,Saudi Arabia,National Company for Learning and Education,SAU,4729999872,SAR,1,2026-03-12
3040.SR,Saudi Arabia,Qassim Cement Company,SAU,4706536448,SAR,1,2026-03-12
7200.SR,Saudi Arabia,Al Moammar Information Systems Company,SAU,4661999616,SAR,1,2026-03-12
4019.SR,Saudi Arabia,Specialized Medical Company,SAU,4560000000,SAR,1,2026-03-12
8200.SR,Saudi Arabia,Saudi Reinsurance Company,SAU,4445625856,SAR,1,2026-03-12
1830.SR,Saudi Arabia,Leejam Sports Company,SAU,4313843712,SAR,1,2026-03-12
4150.SR,Saudi Arabia,Arriyadh Development Co.,SAU,4269237504,SAR,1,2026-03-12
1321.SR,Saudi Arabia,East Pipes Integrated Company for Industry,SAU,4252499968,SAR,1,2026-03-12
2320.SR,Saudi Arabia,Al-Babtain Power and Telecommunications Company,SAU,4233288960,SAR,1,2026-03-12
4163.SR,Saudi Arabia,Al-Dawaa Medical Services Company,SAU,4180300032,SAR,1,2026-03-12
4260.SR,Saudi Arabia,United International Transportation Company,SAU,4139872000,SAR,1,2026-03-12
4007.SR,Saudi Arabia,Al Hammadi Holding Company,SAU,4128000000,SAR,1,2026-03-12
2081.SR,Saudi Arabia,Alkhorayef Water and Power Technologies Company,SAU,4007500032,SAR,1,2026-03-12
4165.SR,Saudi Arabia,Al Majed Oud Co.,SAU,3954999808,SAR,1,2026-03-12
4310.SR,Saudi Arabia,Knowledge Economic City Company,SAU,3796766976,SAR,1,2026-03-12
4050.SR,Saudi Arabia,Saudi Automotive Services Company,SAU,3671500032,SAR,1,2026-03-12
4083.SR,Saudi Arabia,United International Holding Company,SAU,3287500032,SAR,1,2026-03-12
2070.SR,Saudi Arabia,Saudi Pharmaceutical Industries and Medical Appliances Corporation,SAU,3258391296,SAR,1,2026-03-12
3050.SR,Saudi Arabia,Southern Province Cement Company,SAU,3134599936,SAR,1,2026-03-12
4162.SR,Saudi Arabia,Almunajem Foods Company,SAU,2940000000,SAR,1,2026-03-12
2283.SR,Saudi Arabia,The First Milling Company,SAU,2899875072,SAR,1,2026-03-12
4009.SR,Saudi Arabia,Middle East Healthcare Company,SAU,2899259904,SAR,1,2026-03-12
7040.SR,Saudi Arabia,Etihad GO Telecom Co.,SAU,2835591680,SAR,1,2026-03-12
3092.SR,Saudi Arabia,Riyadh Cement Company,SAU,2779200000,SAR,1,2026-03-12
2040.SR,Saudi Arabia,Saudi Ceramic Company,SAU,2709302528,SAR,1,2026-03-12
1831.SR,Saudi Arabia,Maharah for Human Resources Company,SAU,2623500032,SAR,1,2026-03-12
2190.SR,Saudi Arabia,Sustained Infrastructure Holding Company,SAU,2589722112,SAR,1,2026-03-12
1302.SR,Saudi Arabia,Bawan Company,SAU,2570400000,SAR,1,2026-03-12
4326.SR,Saudi Arabia,Dar Al Majed Real Estate Company,SAU,2511000064,SAR,1,2026-03-12
2084.SR,Saudi Arabia,Miahona Company Limited,SAU,2399399680,SAR,1,2026-03-12
6017.SR,Saudi Arabia,Jahez International Company for Information Systems Technology,SAU,2394336512,SAR,1,2026-03-12
2284.SR,Saudi Arabia,Modern Mills for Food Products,SAU,2368839936,SAR,1,2026-03-12
4327.SR,Saudi Arabia,Alramz Real Estate Co.,SAU,2361428480,SAR,1,2026-03-12
3060.SR,Saudi Arabia,Yanbu Cement Company,SAU,2297925120,SAR,1,2026-03-12
4292.SR,Saudi Arabia,Ataa Educational Company,SAU,2293753344,SAR,1,2026-03-12
3010.SR,Saudi Arabia,Arabian Cement Company,SAU,2268000000,SAR,1,2026-03-12
6019.SR,Saudi Arabia,Al Masar Al Shamil Education Co,SAU,2232348928,SAR,1,2026-03-12
4192.SR,Saudi Arabia,Al-Saif Stores for Development & Investment Company,SAU,2226000128,SAR,1,2026-03-12
QNBK.QA,Qatar,Qatar National Bank (Q.P.S.C.),DOH,167577059328,QAR,1,2026-03-12
IQCD.QA,Qatar,Industries Qatar Q.P.S.C.,DOH,67881000960,QAR,1,2026-03-12
QIBK.QA,Qatar,Qatar Islamic Bank (Q.P.S.C.),DOH,53402263552,QAR,1,2026-03-12
ORDS.QA,Qatar,Ooredoo Q.P.S.C.,DOH,41641598976,QAR,1,2026-03-12
QGTS.QA,Qatar,Qatar Gas Transport Company Limited (Nakilat) (QPSC),DOH,25152796672,QAR,1,2026-03-12
ERES.QA,Qatar,Ezdan Holding Group Q.P.S.C.,DOH,22174873600,QAR,1,2026-03-12
MARK.QA,Qatar,AlRayan Bank Q.P.S.C.,DOH,21575999488,QAR,1,2026-03-12
CBQK.QA,Qatar,The Commercial Bank (P.S.Q.C.),DOH,19163746304,QAR,1,2026-03-12
KFH.KW,Kuwait,Kuwait Finance House K.S.C.P.,KUW,13987568640,KWF,1,2026-03-12
AMZN.MX,Mexico,"Amazon.com, Inc.",MEX,40363301535744,MXN,1,2026-03-12
TSMN.MX,Mexico,Taiwan Semiconductor Manufacturing Company Limited,MEX,32477892575232,MXN,1,2026-03-12
META.MX,Mexico,"Meta Platforms, Inc.",MEX,29199230304256,MXN,1,2026-03-12
TSLA.MX,Mexico,"Tesla, Inc.",MEX,26909175971840,MXN,1,2026-03-12
BRKB.MX,Mexico,Berkshire Hathaway Inc.,MEX,18770558976000,MXN,1,2026-03-12
